"key","en","ar","de"
"jeans-interact_clothes-you","Put on the jeans.",,
"jeans__color__dark_blue-interact_clothes-you","Put on the dark blue jeans.",,
"jeans__color__light_blue-interact_clothes-clothes_line","Hang the light blue jeans on the clothesline.",,
"jeans__color__light_blue-interact_clothes-coat_rack",,,
"jeans__color__light_blue-interact_clothes-washing_machine","Wash the light blue jeans.",,
"jeans__color__light_blue-interact_clothes-you","Put on the light blue jeans.",,
"key-give-boy",,,
"key-give-brothers",,,
"key-give-couple",,,
"key-give-family",,,
"key-give-father_son",,,
"key-give-man","Give the man the key.",,
"key-give-siblings",,,
"key-give-sisters",,,
"key-give-woman","Give the woman the key.",,
"key-give-woman__position__standing",,,
"key-give-woman__position__sitting",,,
"key-give-woman__hair__brunette",,,
"key-give-woman__hair__blonde",,,
"key-give-woman__hair__black",,,
"key-give-you",,,
"kiwi-store_small-backpack",,,
"kiwi-store_small-backpack__color__blue",,,
"kiwi-store_small-backpack__color__red",,,
"kiwi-put_in_bowl-bowl","Put the kiwi in the bowl.",,
"kiwi-store_small-box_opened",,,
"kiwi-store_small-cupboard",,,
"kiwi-store_small-shopping_cart","Put the kiwi in the shopping cart.",,
"kiwi-store_small-suitcase",,,
"kiwi-store_small-suitcase__color__white",,,
"kiwi-store_small-suitcase__color__blue",,,
"kiwi-eat-you","Eat the kiwi.",,
"kiwi_cut-store_small-backpack",,,
"kiwi_cut-store_small-backpack__color__blue",,,
"kiwi_cut-store_small-backpack__color__red",,,
"kiwi_cut-put_in_bowl-bowl",,,
"kiwi_cut-store_small-box_opened",,,
"kiwi_cut-store_small-cupboard",,,
"kiwi_cut-store_small-shopping_cart",,,
"kiwi_cut-store_small-suitcase",,,
"kiwi_cut-store_small-suitcase__color__white",,,
"kiwi_cut-store_small-suitcase__color__blue",,,
"kiwi_cut-eat-you",,,
"knife-cut-apple","Cut the apple.",,
"knife-cut-avocado","Cut the avocado.",,
"knife-give-boy","Give the knife to the boy.",,
"knife-cut-broccoli","Cut the broccoli.",,
"knife-give-brothers","Give the knife to the brothers.",,
"knife-give-couple","Give the knife to the couple.",,
"knife-give-family","Give the knife to the family.",,
"knife-give-father_son","Give the knife to the father and son.",,
"knife-cut-honeymelon","Cut the honeydew melon.",,
"knife-cut-kiwi","Cut the kiwi.",,
"knife-cut-lemon","Cut the lemon.",,
"knife-give-man","Give the man the knife.",,
"knife-cut-mango","Cut the mango.",,
"knife-cut-melon_whole","Cut the melon.",,
"knife-cut-onion","Cut the onion.",,
"knife-give-siblings",,,
"knife-give-sisters",,,
"knife-give-woman",,,
"knife-give-woman__position__standing",,,
"knife-give-woman__position__sitting",,,
"knife-give-woman__hair__brunette",,,
"knife-give-woman__hair__blonde",,,
"knife-give-woman__hair__black",,,
"knife-give-you","Take the knife.",,
"kufiyyeh-interact_clothes-clothes_line","Hang the keffiyeh on the clothesline.",,
"kufiyyeh-interact_clothes-coat_rack",,,
"kufiyyeh-interact_clothes-washing_machine","Wash the keffiyeh.",,
"kufiyyeh-interact_clothes-you",,,
"laptop-give-boy",,,
"laptop-give-brothers",,,
"laptop-give-couple",,,
"laptop-give-family",,,
"laptop-give-father_son",,,
"laptop-give-man",,,
"laptop-give-siblings",,,
"laptop-give-sisters",,,
"laptop-give-woman","Give the woman the laptop.",,
"laptop-give-woman__position__standing",,,
"laptop-give-woman__position__sitting",,,
"laptop-give-woman__hair__brunette",,,
"laptop-give-woman__hair__blonde",,,
"laptop-give-woman__hair__black",,,
"laptop-give-you",,,
"lemon-store_small-backpack",,,
"lemon-store_small-backpack__color__blue",,,
"lemon-store_small-backpack__color__red",,,
"lemon-put_in_bowl-bowl","Put the lemon in the bowl.",,
"lemon-store_small-box_opened",,,
"lemon-store_small-cupboard",,,
"lemon-store_small-shopping_cart","Put the lemon in the shopping cart.",,
"lemon-store_small-suitcase",,,
"lemon-store_small-suitcase__color__white",,,
"lemon-store_small-suitcase__color__blue",,,
"lemon-eat-you",,,
"lemon_cut-store_small-backpack",,,
"lemon_cut-store_small-backpack__color__blue",,,
"lemon_cut-store_small-backpack__color__red",,,
"lemon_cut-put_in_bowl-bowl",,,
"lemon_cut-store_small-box_opened",,,
"lemon_cut-store_small-cupboard",,,
"lemon_cut-store_small-shopping_cart",,,
"lemon_cut-store_small-suitcase",,,
"lemon_cut-store_small-suitcase__color__white",,,
"lemon_cut-store_small-suitcase__color__blue",,,
"lemon_cut-eat-you",,,
"mango-store_small-backpack",,,
"mango-store_small-backpack__color__blue",,,
"mango-store_small-backpack__color__red",,,
"mango-put_in_bowl-bowl","Put the mango in the bowl.",,
"mango-store_small-box_opened",,,
"mango-store_small-cupboard",,,
"mango-store_small-shopping_cart",,,
"mango-store_small-suitcase",,,
"mango-store_small-suitcase__color__white",,,
"mango-store_small-suitcase__color__blue",,,
"mango-eat-you","Eat the mango.",,
"mango_cut-store_small-backpack",,,
"mango_cut-store_small-backpack__color__blue",,,
"mango_cut-store_small-backpack__color__red",,,
"mango_cut-put_in_bowl-bowl",,,
"mango_cut-store_small-box_opened",,,
"mango_cut-store_small-cupboard",,,
"mango_cut-store_small-shopping_cart",,,
"mango_cut-store_small-suitcase",,,
"mango_cut-store_small-suitcase__color__white",,,
"mango_cut-store_small-suitcase__color__blue",,,
"mango_cut-eat-you",,,
"melon_cut-store_small-backpack",,,
"melon_cut-store_small-backpack__color__blue",,,
"melon_cut-store_small-backpack__color__red",,,
"melon_cut-put_in_bowl-bowl",,,
"melon_cut-store_small-box_opened",,,
"melon_cut-store_small-cupboard",,,
"melon_cut-store_small-shopping_cart",,,
"melon_cut-store_small-suitcase",,,
"melon_cut-store_small-suitcase__color__white",,,
"melon_cut-store_small-suitcase__color__blue",,,
"melon_cut-eat-you",,,
"melon_whole-store_small-backpack",,,
"melon_whole-store_small-backpack__color__blue",,,
"melon_whole-store_small-backpack__color__red",,,
"melon_whole-put_in_bowl-bowl",,,
"melon_whole-store_small-box_opened",,,
"melon_whole-store_small-cupboard",,,
"melon_whole-store_small-shopping_cart","Put the melon in the shopping cart.",,
"melon_whole-store_small-suitcase",,,
"melon_whole-store_small-suitcase__color__white",,,
"melon_whole-store_small-suitcase__color__blue",,,
"melon_whole-eat-you",,,
"notebook-store_small-box_opened","Put the notebook in the box.",,
"notebook-store_small-cupboard",,,
"notebook-store_small-shopping_cart",,,
"notebook-store_small-suitcase",,,
"notebook-store_small-suitcase__color__white",,,
"notebook-store_small-suitcase__color__blue",,,
"nutcracker-crack_nut-walnut","Crack the walnut.",,
"onion-store_small-backpack",,,
"onion-store_small-backpack__color__blue",,,
"onion-store_small-backpack__color__red",,,
"onion-put_in_bowl-bowl","Put the onion in the bowl.",,
"onion-store_small-box_opened",,,
"onion-store_small-cupboard",,,
"onion-store_small-shopping_cart",,,
"onion-store_small-suitcase",,,
"onion-store_small-suitcase__color__white",,,
"onion-store_small-suitcase__color__blue",,,
"onion-eat-you",,,
"onion_cut-store_small-backpack",,,
"onion_cut-store_small-backpack__color__blue",,,
"onion_cut-store_small-backpack__color__red",,,
"onion_cut-put_in_bowl-bowl",,,
"onion_cut-store_small-box_opened",,,
"onion_cut-store_small-cupboard",,,
"onion_cut-store_small-shopping_cart",,,
"onion_cut-store_small-suitcase",,,
"onion_cut-store_small-suitcase__color__white",,,
"onion_cut-store_small-suitcase__color__blue",,,
"onion_cut-eat-you",,,
"pear-store_small-backpack","Put the pear in the backpack.",,
"pear-store_small-backpack__color__blue",,,
"pear-store_small-backpack__color__red",,,
"pear-put_in_bowl-bowl",,,
"pear-store_small-box_opened",,,
"pear-store_small-cupboard",,,
"pear-store_small-shopping_cart",,,
"pear-store_small-suitcase",,,
"pear-store_small-suitcase__color__white",,,
"pear-store_small-suitcase__color__blue",,,
"pear-eat-you","Eat the pear.",,
"pencil-write-notebook","Write in the notebook.",,
"phone-give-boy",,,
"phone-give-brothers","Give the brothers the phone.",,
"phone-give-couple","Give the family the phone.",,
"phone-give-family",,,
"phone-give-father_son",,,
"phone-give-man",,,
"phone-give-siblings",,,
"phone-give-sisters",,,
"phone-give-woman",,,
"phone-give-woman__position__standing",,,
"phone-give-woman__position__sitting",,,
"phone-give-woman__hair__brunette",,,
"phone-give-woman__hair__blonde",,,
"phone-give-woman__hair__black",,,
"phone-give-you",,,
"piano-move_furniture-apartment","Move the piano into the apartment.",,
"pillow-put_in_bedding-bed","Put the pillow on the bed.",,
"pineapple-store_small-backpack",,,
"pineapple-store_small-backpack__color__blue",,,
"pineapple-store_small-backpack__color__red",,,
"pineapple-put_in_bowl-bowl",,,
"pineapple-store_small-box_opened",,,
"pineapple-store_small-cupboard",,,
"pineapple-store_small-shopping_cart","Put the pineapple in the shopping cart.",,
"pineapple-store_small-suitcase",,,
"pineapple-store_small-suitcase__color__white",,,
"pineapple-store_small-suitcase__color__blue",,,
"pineapple-eat-you",,,
"pizza-eat-you","Eat the pizza.",,
"pot_cactus-move_furniture-apartment","Put the cactus in the apartment.",,
"pot_flower-move_furniture-apartment","Put the flower in the apartment.",,
"pot_plant-move_furniture-apartment","Put the potted plant in the apartment.",,
"ring-give-boy",,,
"ring-give-brothers",,,
"ring-give-couple","Give the couple the ring.",,
"ring-give-family",,,
"ring-give-father_son",,,
"ring-give-man",,,
"ring-give-siblings",,,
"ring-give-sisters",,,
"ring-give-woman",,,
"ring-give-woman__position__standing",,,
"ring-give-woman__position__sitting",,,
"ring-give-woman__hair__brunette",,,
"ring-give-woman__hair__blonde",,,
"ring-give-woman__hair__black",,,
"ring-put_on_accessoire-you","Put on the ring.",,
"ring-give-you",,,
"sakko-interact_clothes-clothes_line",,,
"sakko-interact_clothes-coat_rack",,,
"sakko-interact_clothes-washing_machine",,,
"sakko-interact_clothes-you",,,
"shirt-store_small-backpack",,,
"shirt-store_small-backpack__color__blue","Put the shirt in the blue backpack.",,
"shirt-store_small-box_opened","Put the shirt in the box.",,
"shirt-interact_clothes-clothes_line","Hang the shirt on the clothesline.",,
"shirt-interact_clothes-coat_rack",,,
"shirt-store_small-cupboard",,,
"shirt-store_small-shopping_cart",,,
"shirt-store_small-suitcase",,,
"shirt-store_small-suitcase__color__white",,,
"shirt-store_small-suitcase__color__blue","Put the shirt in the blue suitcase.",,
"shirt-interact_clothes-washing_machine","Wash the shirt.",,
"shirt-interact_clothes-you","Put on the shirt.",,
"shoes-store_small-box_opened",,,
"shoes-store_small-cupboard",,,
"shoes-store_small-shopping_cart",,,
"shoes-store_small-suitcase","Put the shoes in the suitcase.",,
"shoes-store_small-suitcase__color__white",,,
"shoes-store_small-suitcase__color__blue",,,
"shoes-put_on_accessoire-you","Put the shoes on.",,
"stool-move_furniture-apartment","Move the stool into the apartment.",,
"suitcase-store_medium-car","Put the suitcase in the car.",,
"suitcase-store_medium-car__color__black","Put the suitcase in the black car.",,
"suitcase__color__white-store_medium-car","Put the white suitcase in the car.",,
"suitcase__color__white-store_medium-car__color__black","Put the white suitcase in the black car.",,
"suitcase-store_medium-car__color__blue","Put the suitcase in the blue car.",,
"suitcase__color__white-store_medium-car__color__blue","Put the white suitcase in the blue car.",,
"suitcase-store_medium-car__color__green","Put the suitcase in the green car.",,
"suitcase__color__white-store_medium-car__color__green","Put the white suitcase in the green car.",,
"suitcase-store_medium-car__color__orange","Put the suitcase in the orange car.",,
"suitcase__color__white-store_medium-car__color__orange","Put the white suitcase in the orange car.",,
"suitcase-store_medium-car__color__pink","Put the suitcase in the pink car.",,
"suitcase__color__white-store_medium-car__color__pink","Put the white suitcase in the pink car.",,
"suitcase-store_medium-car__color__purple","Put the suitcase in the purple car.",,
"suitcase__color__white-store_medium-car__color__purple","Put the white suitcase in the purple car.",,
"suitcase-store_medium-car__color__red","Put the suitcase in the red car.",,
"suitcase__color__white-store_medium-car__color__red","Put the white suitcase in the red car.",,
"suitcase-store_medium-car__color__silver","Put the suitcase in the silver car.",,
"suitcase__color__white-store_medium-car__color__silver","Put the white suitcase in the silver car.",,
"suitcase-store_medium-car__color__white","Put the suitcase in the white car.",,
"suitcase__color__white-store_medium-car__color__white","Put the white suitcase in the white car.",,
"suitcase-store_medium-car__color__yellow","Put the suitcase in the yellow car.",,
"suitcase-store_medium-car__age__new","Put the suitcase in the new car.",,
"suitcase__color__white-store_medium-car__color__yellow","Put the white suitcase in the yellow car.",,
"suitcase__color__white-store_medium-car__age__new","Put the white suitcase in the new car.",,
"suitcase-store_medium-car__age__old","Put the suitcase in the old car.",,
"suitcase__color__white-store_medium-car__age__old","Put the white suitcase in the old car.",,
"suitcase__color__blue-store_medium-car","Put the blue suitcase in the car.",,
"suitcase__color__blue-store_medium-car__color__black","Put the blue suitcase in the black car.",,
"suitcase__color__blue-store_medium-car__color__blue","Put the blue suitcase in the blue car.",,
"suitcase__color__blue-store_medium-car__color__green","Put the blue suitcase in the green car.",,
"suitcase__color__blue-store_medium-car__color__orange","Put the blue suitcase in the orange car.",,
"suitcase__color__blue-store_medium-car__color__pink","Put the blue suitcase in the pink car.",,
"suitcase__color__blue-store_medium-car__color__purple","Put the blue suitcase in the purple car.",,
"suitcase__color__blue-store_medium-car__color__red","Put the blue suitcase in the red car.",,
"suitcase__color__blue-store_medium-car__color__silver","Put the blue suitcase in the silver car.",,
"suitcase__color__blue-store_medium-car__color__white","Put the blue suitcase in the white car.",,
"suitcase__color__blue-store_medium-car__color__yellow","Put the blue suitcase in the yellow car.",,
"suitcase__color__blue-store_medium-car__age__new","Put the blue suitcase in the new car.",,
"suitcase__color__blue-store_medium-car__age__old","Put the blue suitcase in the old car.",,
"table-move_furniture-apartment","Move the table into the apartment.",,
"teddy-put_in_bedding-bed","Put the teddy on the bed.",,
"teddy-give-boy",,,
"teddy-give-brothers",,,
"teddy-give-couple",,,
"teddy-give-family",,,
"teddy-give-father_son",,,
"teddy-give-man",,,
"teddy-give-siblings","Give the teddy to the siblings.",,
"teddy-give-sisters","Give the teddy to the sisters.",,
"teddy-give-woman",,,
"teddy-give-woman__position__standing",,,
"teddy-give-woman__position__sitting",,,
"teddy-give-woman__hair__brunette",,,
"teddy-give-woman__hair__blonde",,,
"teddy-give-woman__hair__black",,,
"teddy-give-you",,,
"toddler-put_child-bed","Put the toddler on the bed.",,
"toddler-put_child-stroller","Put the toddler in the stroller.",,
"towels_folded-store_small-backpack","Put the towels in the backpack.",,
"towels_folded-store_small-backpack__color__blue",,,
"towels_folded-store_small-backpack__color__red",,,
"towels_folded-store_small-box_opened",,,
"towels_folded-store_small-cupboard",,,
"towels_folded-store_small-shopping_cart",,,
"towels_folded-store_small-suitcase",,,
"towels_folded-store_small-suitcase__color__white",,,
"towels_folded-store_small-suitcase__color__blue",,,
"toy-give-boy","Give the toy to the boy.",,
"toy-give-brothers",,,
"toy-give-couple",,,
"toy-give-family",,,
"toy-give-father_son",,,
"toy-give-man",,,
"toy-give-siblings",,,
"toy-give-sisters","Give the toy to the sisters.",,
"toy-give-woman",,,
"toy-give-woman__position__standing",,,
"toy-give-woman__position__sitting",,,
"toy-give-woman__hair__brunette",,,
"toy-give-woman__hair__blonde",,,
"toy-give-woman__hair__black",,,
"toy-give-you",,,
"tractor-drive_to-church",,,
"tractor-drive_to-house","Drive the tractor to the house.",,
"tractor-drive_to-parking_lot",,,
"truck-drive_to-church",,,
"truck-drive_to-house","The truck drives to the house.",,
"truck-drive_to-parking_lot","Park the truck.",,
"tuktuk-drive_to-church",,,
"tuktuk-drive_to-house",,,
"tuktuk-drive_to-parking_lot","Park the tuktuk.",,
"umbrella-store_medium-car","Put the umbrella in the car.",,
"umbrella-store_medium-car__color__black",,,
"umbrella-store_medium-car__color__blue",,,
"umbrella-store_medium-car__color__green",,,
"umbrella-store_medium-car__color__orange",,,
"umbrella-store_medium-car__color__pink",,,
"umbrella-store_medium-car__color__purple","Put the umbrella in the purple car.",,
"umbrella-store_medium-car__color__red","Put the umbrella in the red car.",,
"umbrella-store_medium-car__color__silver",,,
"umbrella-store_medium-car__color__white",,,
"umbrella-store_medium-car__color__yellow",,,
"umbrella-store_medium-car__age__new",,,
"umbrella-store_medium-car__age__old",,,
"vase-move_furniture-apartment","Put the vase in the apartment.",,
"walnut-put_in_bowl-bowl",,,
"walnut_half-store_small-backpack",,,
"walnut_half-store_small-backpack__color__blue",,,
"walnut_half-store_small-backpack__color__red",,,
"walnut_half-put_in_bowl-bowl",,,
"walnut_half-store_small-box_opened",,,
"walnut_half-store_small-cupboard",,,
"walnut_half-store_small-shopping_cart",,,
"walnut_half-store_small-suitcase",,,
"walnut_half-store_small-suitcase__color__white",,,
"walnut_half-store_small-suitcase__color__blue",,,
"walnut_half-eat-you","Eat the walnut.",,
"watch-put_on_accessoire-you",,,
"water_bottle-drink-you","Drink some water.",,
"wedding_ring-store_small-backpack",,,
"wedding_ring-store_small-backpack__color__blue",,,
"wedding_ring-store_small-backpack__color__red",,,
"wedding_ring-store_small-box_opened","Put the wedding ring in the box.",,
"wedding_ring-store_small-cupboard",,,
"wedding_ring-store_small-shopping_cart",,,
"wedding_ring-store_small-suitcase",,,
"wedding_ring-store_small-suitcase__color__white",,,
"wedding_ring-store_small-suitcase__color__blue",,,
"woman-go_to-church","The woman goes to church.",,
"woman__position__standing-go_to-church",,,
"woman-go_to-flag_egypt",,,
"woman__position__standing-go_to-flag_egypt",,,
"woman-go_to-flag_germany",,,
"woman__position__standing-go_to-flag_germany",,,
"woman-go_to-flag_jordan",,,
"woman__position__standing-go_to-flag_jordan",,,
"woman-go_to-house",,,
"woman__position__standing-go_to-house",,,
"woman__position__sitting-go_to-church",,,
"woman__position__sitting-go_to-flag_egypt",,,
"woman__position__sitting-go_to-flag_germany",,,
"woman__position__sitting-go_to-flag_jordan",,,
"woman__position__sitting-go_to-house",,,
"woman__hair__brunette-go_to-church",,,
"woman__hair__brunette-go_to-flag_egypt",,,
"woman__hair__brunette-go_to-flag_germany",,,
"woman__hair__brunette-go_to-flag_jordan",,,
"woman__hair__brunette-go_to-house",,,
"woman__hair__blonde-go_to-church",,,
"woman__hair__blonde-go_to-flag_egypt",,,
"woman__hair__blonde-go_to-flag_germany",,,
"woman__hair__blonde-go_to-flag_jordan",,,
"woman__hair__blonde-go_to-house",,,
"woman__hair__black-go_to-church",,,
"woman__hair__black-go_to-flag_egypt",,,
"woman__hair__black-go_to-flag_germany",,,
"woman__hair__black-go_to-flag_jordan",,,
"woman__hair__black-go_to-house",,,
"you-get_in-bus","Get in the bus.",,
"you-get_in-bus__size__big","Get in the big bus.",,
"you-get_in-bus__color__blue","Get in the blue bus.",,
"you-get_in-car","Get in the car.",,
"you-get_in-car__color__black","Get in the black clar.",,
"you-get_in-car__age__new","Get in the new car.",,
"you-go_to-church","Go to the church.",,
"you-go_to-flag_egypt","Go to the Egyptian flag.",,
"you-go_to-flag_germany","Go to the German flag.",,
"you-go_to-flag_jordan","Go to the Jordanian flag.",,
"you-go_to-house","Go into the house.",,
"you-get_in-plane","Board the plane.",,
"you-get_in-taxi","Get in the taxi.",,
"you-get_in-tractor","Get in the tractor.",,
"you-get_in-tuktuk","Get in the tuktuk.",,
